DateTime,Concentration,Diff,SgnDiff,SgnDiff1,SgnDiff2,SgnDiff3,Year,Month,DayWeek,Hour,Outlier,IsOutDiff,Concentration_Imput2,IndexLastMiss
2019-01-03 14:00:00,2.2,0.40000000000000013,1.0,-1.0,-1.0,1.0,2019,Jan,Thu,14,0,0,2.2,0
2019-01-03 15:00:00,1.8,-0.40000000000000013,-1.0,1.0,1.0,-1.0,2019,Jan,Thu,15,0,0,1.8,0
2019-01-03 16:00:00,1.9,0.09999999999999987,1.0,-1.0,-1.0,1.0,2019,Jan,Thu,16,0,0,1.9,0
2019-01-03 17:00:00,1.3,-0.5999999999999999,-1.0,1.0,1.0,-1.0,2019,Jan,Thu,17,0,0,1.3,0
2019-01-03 18:00:00,1.4,0.09999999999999987,1.0,1.0,-1.0,-1.0,2019,Jan,Thu,18,0,0,1.4,0
2019-01-03 19:00:00,1.7,0.30000000000000004,1.0,-1.0,1.0,-1.0,2019,Jan,Thu,19,0,0,1.7,0
2019-01-03 20:00:00,2.1,0.40000000000000013,1.0,-1.0,-1.0,1.0,2019,Jan,Thu,20,0,0,2.1,0
2019-01-03 21:00:00,2.4,0.2999999999999998,1.0,1.0,1.0,1.0,2019,Jan,Thu,21,0,0,2.4,0
2019-01-03 22:00:00,3.0,0.6000000000000001,1.0,1.0,1.0,-1.0,2019,Jan,Thu,22,0,0,3.0,0
2019-01-03 23:00:00,3.6,0.6000000000000001,1.0,-1.0,1.0,1.0,2019,Jan,Thu,23,0,0,3.6,0
2019-01-04 00:00:00,3.4,-0.20000000000000018,-1.0,1.0,1.0,1.0,2019,Jan,Fri,0,0,0,3.4,0
2019-01-04 01:00:00,2.9,-0.5,-1.0,1.0,-1.0,1.0,2019,Jan,Fri,1,0,0,2.9,0
2019-01-04 02:00:00,2.1,-0.7999999999999998,-1.0,1.0,1.0,1.0,2019,Jan,Fri,2,0,1,2.1,0
2019-01-04 03:00:00,1.7,-0.40000000000000013,-1.0,1.0,-1.0,-1.0,2019,Jan,Fri,3,0,0,1.7,0
2019-01-04 04:00:00,1.4,-0.30000000000000004,-1.0,1.0,-1.0,1.0,2019,Jan,Fri,4,0,0,1.4,0
2019-01-04 05:00:00,1.5,0.10000000000000009,1.0,-1.0,1.0,-1.0,2019,Jan,Fri,5,0,0,1.5,0
2019-01-04 06:00:00,1.7,0.19999999999999996,1.0,1.0,1.0,1.0,2019,Jan,Fri,6,0,0,1.7,0
2019-01-04 07:00:00,2.1,0.40000000000000013,1.0,1.0,1.0,1.0,2019,Jan,Fri,7,0,0,2.1,0
